,Nation,senti_bert
0,AFG,2020-03-13 00:00:00
1,AGO,2020-03-22 00:00:00
2,ALB,2020-03-25 00:00:00
3,ARE,2020-03-16 00:00:00
4,ARG,2020-03-16 00:00:00
5,AUS,2020-03-16 00:00:00
6,AUT,2020-03-14 00:00:00
7,AZE,2020-04-01 00:00:00
8,BEL,2020-03-14 00:00:00
9,BEN,2020-03-04 00:00:00
10,BGD,2020-03-22 00:00:00
11,BGR,2020-03-13 00:00:00
12,BHR,2020-03-14 00:00:00
13,BIH,2020-03-20 00:00:00
14,BLR,2020-03-18 00:00:00
15,BOL,2020-03-14 00:00:00
16,BRA,2020-03-15 00:00:00
17,BRB,2020-04-02 00:00:00
18,BRN,2020-03-14 00:00:00
19,BWA,2020-03-25 00:00:00
20,CAN,2020-03-14 00:00:00
21,CHE,2020-03-15 00:00:00
22,CHL,2020-03-18 00:00:00
23,CHN,2020-01-30 00:00:00
24,CIV,2020-03-02 00:00:00
25,CMR,2020-03-21 00:00:00
26,COD,2020-03-19 00:00:00
27,COL,2020-03-17 00:00:00
28,CRI,2020-03-12 00:00:00
29,CUB,2020-03-19 00:00:00
30,CYP,2020-03-12 00:00:00
31,CZE,2020-03-13 00:00:00
32,DEU,2020-03-14 00:00:00
33,DNK,2020-03-13 00:00:00
34,DOM,2020-03-21 00:00:00
35,DZA,2020-03-20 00:00:00
36,ECU,2020-03-17 00:00:00
37,EGY,2020-03-15 00:00:00
38,ESP,2020-03-13 00:00:00
39,EST,2020-03-20 00:00:00
40,ETH,2020-03-17 00:00:00
41,FIN,2020-03-14 00:00:00
42,FRA,2020-03-14 00:00:00
43,GBR,2020-03-15 00:00:00
44,GEO,2020-03-13 00:00:00
45,GHA,2020-03-15 00:00:00
46,GMB,2020-03-15 00:00:00
47,GRC,2020-03-28 00:00:00
48,GTM,2020-03-16 00:00:00
49,GUM,2020-03-19 00:00:00
50,HKG,2020-03-18 00:00:00
51,HND,2020-03-16 00:00:00
52,HUN,2020-03-10 00:00:00
53,IDN,2020-03-18 00:00:00
54,IMN,2020-03-16 00:00:00
55,IND,2020-03-25 00:00:00
56,IRL,2020-03-12 00:00:00
57,IRN,2020-02-22 00:00:00
58,IRQ,2020-02-27 00:00:00
59,ISL,2020-03-29 00:00:00
60,ISR,2020-03-16 00:00:00
61,ITA,2020-03-09 00:00:00
62,JAM,2020-03-13 00:00:00
63,JOR,2020-03-13 00:00:00
64,JPN,2020-03-30 00:00:00
65,KAZ,2020-03-17 00:00:00
66,KEN,2020-03-25 00:00:00
67,KGZ,2020-03-21 00:00:00
68,KHM,2020-03-19 00:00:00
69,KOR,2020-03-16 00:00:00
70,KWT,2020-02-27 00:00:00
71,LBN,2020-03-13 00:00:00
72,LBY,2020-03-22 00:00:00
73,LCA,2020-04-01 00:00:00
74,LKA,2020-03-15 00:00:00
75,LSO,2020-05-22 00:00:00
76,LUX,2020-03-19 00:00:00
77,LVA,2020-03-15 00:00:00
78,MAC,2020-02-04 00:00:00
79,MAR,2020-03-15 00:00:00
80,MEX,2020-03-16 00:00:00
81,MKD,2020-03-22 00:00:00
82,MLI,2020-04-08 00:00:00
83,MMR,2020-03-15 00:00:00
84,MNE,2020-03-09 00:00:00
85,MNG,2020-01-29 00:00:00
86,MOZ,2020-03-25 00:00:00
87,MTQ,2020-03-13 00:00:00
88,MUS,2020-03-16 00:00:00
89,MWI,2020-03-16 00:00:00
90,MYS,2020-03-17 00:00:00
91,NAM,2020-03-16 00:00:00
92,NGA,2020-03-23 00:00:00
93,NIC,2020-03-20 00:00:00
94,NLD,2020-03-13 00:00:00
95,NOR,2020-03-14 00:00:00
96,NPL,2020-03-22 00:00:00
97,NZL,2020-03-17 00:00:00
98,OMN,2020-03-25 00:00:00
99,PAK,2020-03-20 00:00:00
100,PAN,2020-03-13 00:00:00
101,PER,2020-03-16 00:00:00
102,PHL,2020-03-12 00:00:00
103,POL,2020-03-13 00:00:00
104,PRI,2020-03-14 00:00:00
105,PRT,2020-03-13 00:00:00
106,PRY,2020-03-13 00:00:00
107,QAT,2020-03-13 00:00:00
108,ROU,2020-03-11 00:00:00
109,RUS,2020-03-18 00:00:00
110,RWA,2020-03-15 00:00:00
111,SAU,2020-03-24 00:00:00
112,SDN,2020-03-13 00:00:00
113,SEN,2020-03-21 00:00:00
114,SGP,2020-03-16 00:00:00
115,SLE,2020-03-13 00:00:00
116,SLV,2020-03-30 00:00:00
117,SOM,2020-03-21 00:00:00
118,SRB,2020-03-15 00:00:00
119,SVK,2020-03-15 00:00:00
120,SVN,2020-03-17 00:00:00
121,SWE,2020-03-14 00:00:00
122,SWZ,2020-03-16 00:00:00
123,SYR,2020-03-01 00:00:00
124,THA,2020-02-26 00:00:00
125,TTO,2020-03-14 00:00:00
126,TUN,2020-03-11 00:00:00
127,TUR,2020-04-10 00:00:00
128,TWN,2020-03-15 00:00:00
129,TZA,2020-03-16 00:00:00
130,UGA,2020-03-23 00:00:00
131,UKR,2020-03-16 00:00:00
132,URY,2020-03-15 00:00:00
133,USA,2020-03-14 00:00:00
134,UZB,2020-03-15 00:00:00
135,VEN,2020-03-18 00:00:00
136,VIR,2020-04-11 00:00:00
137,VNM,2020-03-19 00:00:00
138,XKO,2020-03-12 00:00:00
139,YEM,2020-03-18 00:00:00
140,ZAF,2020-03-24 00:00:00
141,ZMB,2020-03-25 00:00:00
