"","treatname","gap","pvalue","RMSPE"
"1","GBR",1.17902481555939,0.00998003992015968,0.127324514723314
"2","IND",-0.966448228806257,0.0414171656686627,0.273753196463391
"3","JAM",0.80618442595005,0.0424151696606786,0.11842987463172
"4","LSO",0.788388762623072,0.0439121756487026,0.170343257611008
"5","PHL",0.742128528654575,0.0459081836327345,0.33804627946792
"6","URY",0.727305819513276,0.0469061876247505,0.332767637729899
"7","NLD",0.721354687586427,0.0489021956087824,0.455299100925543
"8","ECU",-0.841029945760965,0.0523952095808383,0.40140016579491
"9","LKA",0.709209300577641,0.0533932135728543,0.0566479961978911
"10","MYS",0.656569477869198,0.0673652694610778,0.0509427950796209
"11","DOM",-0.673675967846066,0.0713572854291417,0.0990221720664569
"12","SLV",-0.664797246456146,0.0738522954091816,0.195119365330776
"13","GTM",0.580831864848733,0.0868263473053892,0.373665825764636
"14","ROU",-0.579201478976756,0.093812375249501,0.265980090952128
"15","AUS",0.536530000623316,0.106786427145709,0.188800087840741
"16","MAR",0.479685521684587,0.131736526946108,0.0434092084094513
"17","BOL",0.457997534424067,0.140219560878244,0.324339451552763
"18","UKR",0.447981013916433,0.143213572854291,0.0819332925694872
"19","JOR",-0.453561014961451,0.160179640718563,0.277583259511387
"20","BIH",-0.388640817560372,0.210079840319361,0.0445391777542607
"21","CAN",0.336922509595752,0.212574850299401,0.29764324226903
"22","AUT",0.311281386762857,0.235528942115768,0.0238945761451359
"23","NZL",0.280302409693832,0.256487025948104,0.156021795909292
"24","SGP",0.276510598137975,0.25748502994012,0.435222561965816
"25","CYP",0.263804210349917,0.267465069860279,0.147013583097954
"26","OMN",0.261638438794762,0.267465069860279,0.376628446062396
"27","AGO",0.249642501352355,0.272954091816367,0.140451012206802
"28","CIV",-0.250168493017554,0.310379241516966,0.11133630464682
"29","PAN",-0.249108667485416,0.310379241516966,0.490598004675361
"30","FRA",0.209335764870048,0.31187624750499,0.117023832643985
"31","SAU",0.201076343655586,0.321357285429142,0.114243115917563
"32","TUN",0.198304482153617,0.322355289421158,0.173206871867739
"33","KOR",0.193177509121597,0.328842315369261,0.161031141030893
"34","TTO",0.186493264511228,0.331836327345309,0.0391140034745197
"35","GRC",-0.218330738134682,0.342315369261477,0.179224284083327
"36","PRY",0.160014995606616,0.350299401197605,0.323327170196333
"37","GHA",0.147007886618667,0.360778443113772,0.0356811195407844
"38","HND",0.123972547706217,0.379241516966068,0.320555152620872
"39","NPL",0.125127529259771,0.379241516966068,0.168846213802362
"40","RWA",0.125019880011678,0.379241516966068,0.379551046617844
"41","IRQ",-0.182478695642203,0.380738522954092,0.149043333567298
"42","LBN",0.0924797793850303,0.395708582834331,0.0417986439982524
"43","BEL",0.0816037044860423,0.401696606786427,0.268995785525202
"44","HUN",0.0793052455410361,0.405189620758483,0.0423576088096511
"45","SEN",-0.154501072131097,0.405189620758483,0.0226378723180229
"46","PAK",-0.136412598658353,0.418163672654691,0.108968709236348
"47","ARE",-0.121036631986499,0.431636726546906,0.0755550983116982
"48","CZE",0.023505604127422,0.452095808383234,0.0294125525283732
"49","LBY",-0.079993293620646,0.478043912175649,0.0911949635171208
"50","EGY",-0.0735511815291829,0.481536926147705,0.212870051165929
"51","PER",-0.0266220856865402,0.522455089820359,0.259699768711952
"52","VNM",-0.00892606397974305,0.531936127744511,0.0972910316450497
